id,"number","description","customer","location",productionPerHour,peopleRequired
2182,"105747H","CREAM TO PONWER- WARM HONEY","NMG","495",1980,6
2181,"105831B","STRAWMELON 3MG 30ML","REJ","495",2100,10
2180,"105831A","RING DROPZ STRAWBERRY WATERMELON 0MG","REJ","495",2100,10
2179,"105830B","GLAZE BERRY LIP GLAZE REBRAND","SSL","494",1200,5
2178,"105830R","RASBERRY LIP GLAZE REBRAND","SSL","494",1200,5
2177,"105831F","RING DROPZ COPACK:BLUERASBERRY-6MG","REJ","494",10,2100
2176,"105506","COUNTOUR BRUSH","SSL","494",1200,4
2175,"105606","COUNTOUR BRUSH","SSL","494",1200,4
2174,"105817M","BROW EYE   HIGHLIGHTER - MATTE CREAM  ","NMG","495",2800,5
2173,"105830A","APRICOT - LIP GLAZE REBRAND","SSL","494",1200,5
2172,"105831E","RING DROP COPACK BLUE RASPERRY 3MG","REJ","495",2100,10
2171,"105831D","RING DROPZ COPACK;BLUE RASPBERRY-OMG","REJ","494",2100,10
2170,"105830","GRAPEFRUIT- LIP GLAZE REBRAND","SSL","494",1200,5
2169,"105788F","LIP LINER SHRINK SLEEVE FUCHSIA","NMG","494",2400,3
2168,"105834","brow shaping  clear wax  blister","NMG","495",2880,5
2167,"105829","ulta gratis set","SSL","494",240,2
2166,"105825","Lip Liner Shrink Sleeve -spice","NMG","494",2400,3
2165,"105830T","GUAVA-LIP-GLAZE REBRAND","SSL","494",1200,5
2164,"105830W","WATERMELON - LIP GLAZE REBRAND","SSL","494",1200,5
2163,"105819M","BROW FIX KIT - MEDIUM","NMG","495",2880,5
2162,"105788T","LIP LINER SHRINK SLEEVE TRUE RED","NMG","494",2400,3
2161,"105819L","brow fix kit- light","NMG","495",2880,5
2160,"105772","SAD BROW ","SSL","494",1200,4
2159,"105828","SAD BROW LINER DARK","SSL","494",1200,4
2158,"105811F","DRIP TREAT COPACK :BLUEBERRYDELIGHT-6MG","REJ","494",1200,9
2157,"105769","even touch-natural TAN","NMG","495",1980,6
2156,"105811E","DRIP TREAT COPACK :BLUEBERRYDELIGHT-3MG","REJ","494",1200,9
2155,"105811D","DRIP TREATS COPACK: BLUEBERRY DELIGHT-OMG","REJ","494",1200,9
2154,"105811A","DRIP TREATS COPACK: STRAWBERRY PLEASURE-0MG","REJ","494",1200,9
2153,"105824","one step correct","SSL","494",1080,4
2152,"105822a","cream to powder- almond","NMG","495",1980,6
2151,"105811c","DRIP TREATS COPACK: STRAWBERRY PLEASURE-6mg","rej","494",1200,9
2150,"105819","BROW FIX KIT - DARK","NMG","495",2880,5
2149,"105822","cream to powder- WARM BEIGE","NMG","495",1980,6
2148,"105811 ","DRIP TREATS COPACK: STRAWBERRY PLEASURE-3MG","REJ","494",1200,9
2147,"105817","FABULINER BOLD SHRINK SLEEVING","JCC","494",1800,3
2146,"105815N","TWIST N SHINE - NUDE CHIC","JCC","494",2400,4
